barcode,product_name,retailer_name,suspicious_price,median_price_for_barcode,price_ratio,retailer_count,reason_for_flag
8016867015080,"מגן תחתון בתפזורת באריזת חיסכון , עשוי מ-100% כותנה אורגנית (₪1.66 ליחידה)",Be Pharm,34.77,18.215,20.945783132530124,2,Unit/Package Mismatch (Same barcode has 20.9x price variance)
8016867015080,"מגן תחתון בתפזורת באריזת חיסכון , עשוי מ-100% כותנה אורגנית (₪1.66 ליחידה)",Super-Pharm,1.66,18.215,20.945783132530124,2,Unit/Package Mismatch (Lowest price for barcode with 20.9x variance)
5060062992588,לאחסון חלב אם 25 שקיות (₪1.92 ליחידה),Good Pharm,39.9,20.91,20.78125,2,Unit/Package Mismatch (Same barcode has 20.8x price variance)
5060062992588,לאחסון חלב אם 25 שקיות (₪1.92 ליחידה),Super-Pharm,1.92,20.91,20.78125,2,Unit/Package Mismatch (Lowest price for barcode with 20.8x variance)
4054596918320,נקסקר דואו מגוון,Good Pharm,34.9,34.9,20.049019607843135,3,Unit/Package Mismatch (Same barcode has 20.0x price variance)
4054596918320,נקסקר דואו מגוון,Be Pharm,40.9,34.9,20.049019607843135,3,Unit/Package Mismatch (Same barcode has 20.0x price variance)
4054596918320,נקסקר דואו מגוון,Super-Pharm,2.04,34.9,20.049019607843135,3,Unit/Package Mismatch (Lowest price for barcode with 20.0x variance)
5029053574110,פול אפס תחתוני גמילה סופגים ליום - לבנים ולבנות מידה 6 15+ קילו (₪2.79 ליחידה),Super-Pharm,2.79,29.345,20.03584229390681,2,Unit/Package Mismatch (Lowest price for barcode with 20.0x variance)
5029053574110,פול אפס תחתוני גמילה סופגים ליום - לבנים ולבנות מידה 6 15+ קילו (₪2.79 ליחידה),Be Pharm,55.9,29.345,20.03584229390681,2,Unit/Package Mismatch (Same barcode has 20.0x price variance)
7290015912914,אדקס כמוסות ליקוויד ג'ל 400 - חדש 20 כמוסות נוזל (₪2.51 ליחידה),Good Pharm,50.28,26.395,20.031872509960163,2,Unit/Package Mismatch (Same barcode has 20.0x price variance)
7290015912914,אדקס כמוסות ליקוויד ג'ל 400 - חדש 20 כמוסות נוזל (₪2.51 ליחידה),Super-Pharm,2.51,26.395,20.031872509960163,2,Unit/Package Mismatch (Lowest price for barcode with 20.0x variance)
8006540951903,ג'ל כביסה בניחוח לנור בקופסת קרטון (₪1.78 ליחידה),Super-Pharm,1.78,18.34,19.606741573033705,2,Unit/Package Mismatch (Lowest price for barcode with 19.6x variance)
8006540951903,ג'ל כביסה בניחוח לנור בקופסת קרטון (₪1.78 ליחידה),Good Pharm,34.9,18.34,19.606741573033705,2,Unit/Package Mismatch (Same barcode has 19.6x price variance)
8700216890946,פרימיום חיתולים מידה 4 (₪1.75 ליחידה),Good Pharm,33.9,33.9,19.37142857142857,3,Unit/Package Mismatch (Same barcode has 19.4x price variance)
8700216890946,פרימיום חיתולים מידה 4 (₪1.75 ליחידה),Super-Pharm,1.75,33.9,19.37142857142857,3,Unit/Package Mismatch (Lowest price for barcode with 19.4x variance)
8700216890946,פרימיום חיתולים מידה 4 (₪1.75 ליחידה),Be Pharm,33.9,33.9,19.37142857142857,3,Unit/Package Mismatch (Same barcode has 19.4x price variance)
8696814047168,LIP OIL GABRINI קלאסיק אפרסק (₪475 ל-),Super-Pharm,475.0,249.95,19.076305220883537,2,Unit/Package Mismatch (Same barcode has 19.1x price variance)
8696814047168,LIP OIL GABRINI קלאסיק אפרסק (₪475 ל-),Good Pharm,24.9,249.95,19.076305220883537,2,Unit/Package Mismatch (Lowest price for barcode with 19.1x variance)
4008600338949,R3 קונדומים דקים ומשומנים לתחושה טבעית 24 קונדומים (₪3.37 ליחידה),Super-Pharm,3.37,33.645,18.967359050445104,2,Unit/Package Mismatch (Lowest price for barcode with 19.0x variance)
4008600438465,R3 XL קונדומים,Be Pharm,63.92,33.645,18.967359050445104,2,Unit/Package Mismatch (Same barcode has 19.0x price variance)
4008600438465,R3 XL קונדומים,Super-Pharm,3.37,33.645,18.967359050445104,2,Unit/Package Mismatch (Lowest price for barcode with 19.0x variance)
4008600338949,R3 קונדומים דקים ומשומנים לתחושה טבעית 24 קונדומים (₪3.37 ליחידה),Be Pharm,63.92,33.645,18.967359050445104,2,Unit/Package Mismatch (Same barcode has 19.0x price variance)
7290100412244,ANTI AGING מגבוני ניקוי והסרת איפור לפנים ולעיניים (₪0.87 ליחידה),Good Pharm,15.9,8.385,18.275862068965516,2,Unit/Package Mismatch (Same barcode has 18.3x price variance)
7290100412244,ANTI AGING מגבוני ניקוי והסרת איפור לפנים ולעיניים (₪0.87 ליחידה),Super-Pharm,0.87,8.385,18.275862068965516,2,Unit/Package Mismatch (Lowest price for barcode with 18.3x variance)
